Date,Open,High,Low,Close,Adj Close,Volume
2023-04-04,67.959999,68.120003,66.879997,67.070000,65.997368,8882500
2023-04-05,66.709999,67.519997,66.629997,67.500000,66.420486,3305400
2023-04-06,67.449997,67.589996,67.000000,67.480003,66.400810,7060000
2023-04-10,67.449997,67.910004,67.279999,67.610001,66.528732,8560500
2023-04-11,67.849998,68.180000,67.750000,68.070000,66.981369,2755200
2023-04-12,68.400002,68.760002,67.959999,68.029999,66.942009,3885600
2023-04-13,68.099998,68.500000,67.760002,68.470001,67.374977,5531500
2023-04-14,69.000000,69.110001,68.199997,68.459999,67.365135,3239600
2023-04-17,68.430000,68.760002,68.099998,68.720001,67.620979,4301100
2023-04-18,68.930000,69.169998,68.620003,69.050003,67.945702,2588800
2023-04-19,68.750000,69.169998,68.580002,69.010002,67.906342,2371300
2023-04-20,68.669998,68.989998,68.660004,68.790001,67.689857,4032800
2023-04-21,68.699997,68.790001,68.010002,68.190002,67.099457,4270500
2023-04-24,68.000000,68.190002,67.410004,67.650002,66.568092,5691600
2023-04-25,67.300003,67.449997,66.410004,66.410004,65.347923,4712600
2023-04-26,66.239998,66.919998,66.230003,66.570000,65.505363,3834100
2023-04-27,66.889999,67.680000,66.860001,67.339996,66.263046,2584200
2023-04-28,67.070000,67.680000,67.029999,67.629997,66.548409,2268700
2023-05-01,67.800003,68.070000,67.470001,67.480003,66.400810,2280000
2023-05-02,67.360001,67.400002,65.650002,65.930000,64.875595,3074900
2023-05-03,65.910004,66.830002,65.900002,66.150002,65.092079,2280500
2023-05-04,65.849998,65.889999,65.040001,65.660004,64.609917,2874800
2023-05-05,66.260002,67.010002,66.029999,66.940002,65.869446,3380400
2023-05-08,67.180000,67.699997,67.010002,67.279999,66.204002,2870000
2023-05-09,65.980003,66.150002,65.410004,65.879997,64.826393,3292200
2023-05-10,66.180000,66.349998,65.660004,66.089996,65.033035,1592600
2023-05-11,65.830002,66.639999,65.639999,66.559998,65.495522,1593500
2023-05-12,66.739998,66.970001,66.110001,66.519997,65.456161,1445500
2023-05-15,66.430000,67.139999,66.400002,67.089996,66.017044,3671100
2023-05-16,66.800003,67.089996,66.099998,66.139999,65.082237,2976000
2023-05-17,66.279999,66.970001,66.129997,66.940002,65.869446,1891300
2023-05-18,66.879997,67.150002,66.540001,67.019997,65.948158,1638000
2023-05-19,67.160004,67.260002,66.269997,66.529999,65.466003,2114400
2023-05-23,66.040001,67.019997,66.040001,66.510002,65.446327,3225500
2023-05-24,65.599998,66.419998,64.879997,65.660004,64.609917,3421900
2023-05-25,65.620003,66.910004,65.550003,66.720001,65.652962,3351100
2023-05-26,66.879997,67.320000,66.690002,66.800003,65.731689,2070300
2023-05-29,66.989998,67.419998,66.849998,67.300003,66.223694,774000
2023-05-30,67.139999,67.360001,66.279999,66.410004,65.347923,1712000
2023-05-31,66.190002,66.440002,65.500000,65.570000,64.521355,4371500
2023-06-01,65.699997,66.180000,65.220001,65.570000,64.521355,3507400
2023-06-02,66.000000,66.800003,65.760002,66.709999,65.643120,3792700
2023-06-05,66.809998,66.879997,65.870003,65.889999,64.836235,4657400
2023-06-06,65.900002,66.519997,65.839996,66.500000,65.436478,4106800
2023-06-07,66.440002,66.639999,66.099998,66.430000,65.367599,2876400
2023-06-08,66.290001,66.419998,65.879997,66.309998,65.249519,3012900
2023-06-09,66.209999,66.529999,66.029999,66.129997,65.072395,1973500
2023-06-12,66.080002,66.400002,65.709999,65.790001,64.737839,4083800
2023-06-13,65.930000,66.559998,65.839996,66.419998,65.357758,4061100
2023-06-14,66.599998,66.870003,66.169998,66.309998,65.249519,2084800
2023-06-15,66.279999,66.739998,66.180000,66.690002,65.623444,2647600
2023-06-16,66.839996,67.010002,66.139999,66.209999,65.151115,7136600
2023-06-19,66.360001,66.580002,66.190002,66.510002,65.446327,543300
2023-06-20,66.419998,66.470001,65.260002,65.279999,64.235992,4868300
2023-06-21,65.250000,65.290001,64.419998,64.580002,63.547188,6474800
2023-06-22,64.419998,64.500000,63.770000,63.910000,62.887901,4711300
2023-06-23,63.689999,63.730000,63.230000,63.279999,62.267979,2653600
2023-06-26,63.230000,64.139999,63.209999,64.040001,63.015823,4495800
2023-06-27,64.279999,64.610001,64.010002,64.580002,63.547188,1659500
2023-06-28,64.709999,64.919998,64.430000,64.650002,63.616070,1906600
2023-06-29,65.279999,65.570000,64.860001,65.540001,64.491837,12726800
2023-06-30,65.930000,66.489998,65.919998,66.279999,65.220001,8770000
2023-07-04,65.489998,65.699997,65.099998,65.300003,65.300003,1278500
2023-07-05,64.959999,65.089996,64.570000,64.790001,64.790001,7543300
2023-07-06,64.050003,64.290001,63.259998,63.290001,63.290001,11576900
2023-07-07,63.119999,64.330002,63.049999,63.950001,63.950001,5896100
2023-07-10,63.950001,64.220001,63.389999,63.520000,63.520000,4324000
2023-07-11,63.500000,63.880001,63.230000,63.799999,63.799999,4155400
2023-07-12,64.199997,64.730003,64.139999,64.669998,64.669998,3828000
2023-07-13,64.839996,65.550003,64.720001,65.529999,65.529999,4228700
2023-07-14,65.809998,66.029999,65.190002,65.320000,65.320000,2527300
2023-07-17,65.099998,65.570000,65.059998,65.540001,65.540001,3447000
2023-07-18,65.589996,66.290001,65.480003,66.279999,66.279999,4193600
2023-07-19,66.419998,67.059998,66.349998,67.019997,67.019997,8470400
2023-07-20,67.000000,67.209999,66.919998,67.209999,67.209999,6929700
2023-07-21,67.320000,67.379997,67.059998,67.260002,67.260002,4745200
2023-07-24,67.300003,67.540001,66.889999,67.110001,67.110001,3562800
2023-07-25,67.309998,67.320000,65.209999,65.360001,65.360001,8114400
2023-07-26,65.360001,66.040001,65.209999,65.709999,65.709999,3730600
2023-07-27,65.849998,66.430000,65.709999,65.809998,65.809998,2187600
2023-07-28,66.300003,66.550003,66.000000,66.050003,66.050003,1449100
2023-07-31,66.029999,66.669998,66.010002,66.400002,66.400002,4732300
2023-08-01,66.230003,66.320000,65.260002,65.540001,65.540001,2786000
2023-08-02,65.059998,65.160004,64.410004,64.720001,64.720001,3626800
2023-08-03,64.290001,64.360001,63.820000,64.239998,64.239998,2551900
2023-08-04,64.400002,64.849998,64.239998,64.370003,64.370003,2937100
2023-08-08,64.349998,64.400002,63.650002,63.810001,63.810001,3282400
2023-08-09,63.750000,63.939999,63.540001,63.840000,63.840000,1772000
2023-08-10,64.000000,64.550003,63.970001,64.199997,64.199997,1817500
2023-08-11,64.040001,64.610001,63.980000,64.599998,64.599998,1162500
2023-08-14,64.419998,64.500000,63.919998,64.199997,64.199997,1725900
